Commuting Zone,czname,ncollege,nfouryr,nfouryrpriv,npub,nelite,hascollege,Income Age 26 Slope,Income Age 26 Intercept,College Age 19 Slope,College Age 19 Intercept,Number of Children,Birth Cohort
30901,Clovis,2,1,0,2,0,1,0.29054999999999997,0.38811000000000001,0.81684999999999997,0.11508,1169,1986
30902,Littlefield,0,0,0,0,0,0,0.29299999999999998,0.42118,0.96211000000000002,0.047570000000000001,498,1986
30903,Amarillo,2,1,0,2,0,1,0.31237999999999999,0.38385999999999998,0.76771,0.15198999999999999,3420,1986
30904,Pampa,0,0,0,0,0,0,0.26144000000000001,0.45645000000000002,0.75258000000000003,0.12359000000000001,835,1986
30905,Wellington,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
30906,Memphis,1,0,0,1,0,1,NA,NA,NA,NA,NA,1986
30907,Matador,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
30908,Plainview,1,1,1,0,0,1,0.25098999999999999,0.41042000000000001,0.88187000000000004,0.037490000000000002,865,1986
31001,Garden City,1,0,0,1,0,1,0.21673000000000001,0.46972999999999998,0.74467000000000005,0.18743000000000001,802,1986
31002,Ulysses,0,0,0,0,0,0,0.20382,0.46382000000000001,0.70170999999999994,0.22897000000000001,260,1986
31003,Scott City,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
31004,Liberal,1,0,0,1,0,1,0.18523999999999999,0.50590000000000002,0.81008000000000002,0.21079999999999999,465,1986
31005,Perryton,0,0,0,0,0,0,0.15346000000000001,0.56518999999999997,0.76365000000000005,0.19148000000000001,281,1986
31006,Guymon,1,1,0,1,0,1,0.098180000000000003,0.51976,0.66359000000000001,0.17669000000000001,389,1986
31007,Dumas,0,0,0,0,0,0,0.25940000000000002,0.47111999999999998,0.75988,0.14258999999999999,465,1986
31101,Victoria,1,0,0,1,0,1,0.24268999999999999,0.43607000000000001,0.80113999999999996,0.15545,2421,1986
31102,La Grange,0,0,0,0,0,0,0.24332000000000001,0.45863999999999999,0.74390000000000001,0.2049,595,1986
31103,Gonzales,0,0,0,0,0,0,0.33433000000000002,0.40084999999999998,0.48641000000000001,0.22961999999999999,273,1986
31201,Austin,6,5,3,3,2,1,0.23393,0.37909999999999999,0.74160000000000004,0.16950000000000001,15319,1986
31202,Burnet,0,0,0,0,0,0,0.22389999999999999,0.42153000000000002,0.67830999999999997,0.16539999999999999,559,1986
31301,San Antonio,10,7,6,2,1,1,0.21925,0.38547999999999999,0.84138000000000002,0.060040000000000003,24722,1986
31302,Beeville,0,0,0,0,0,0,0.24629999999999999,0.43804999999999999,0.73987000000000003,0.18784999999999999,655,1986
31303,Kerrville,1,1,1,0,0,1,0.25740000000000002,0.39330999999999999,0.73645000000000005,0.14058000000000001,820,1986
31304,Mason,0,0,0,0,0,0,NA,NA,NA,NA,NA,1986
31401,Midland,3,2,0,3,0,1,0.18410000000000001,0.51456000000000002,0.84965999999999997,0.03193,4664,1986
31402,Pecos,0,0,0,0,0,0,0.21551000000000001,0.52683999999999997,0.96050000000000002,0.048669999999999998,543,1986
31403,Fort Stockton,0,0,0,0,0,0,0.10970000000000001,0.55335000000000001,0.75754999999999995,0.095699999999999993,309,1986
31404,Alpine,1,1,0,1,0,1,NA,NA,NA,NA,NA,1986
31501,Crystal City,0,0,0,0,0,0,0.20627999999999999,0.41560999999999998,0.67364999999999997,0.054059999999999997,388,1986
31502,Pearsall,0,0,0,0,0,0,0.17926,0.47143000000000002,0.81918000000000002,0.079450000000000007,337,1986
31503,Laredo,2,1,0,2,0,1,0.15347,0.43045,0.85367999999999999,0.048680000000000001,3289,1986
31600,Brownsville,4,3,0,4,0,1,0.12938,0.43364999999999998,0.77364999999999995,0.13244,14136,1986
31700,Corpus Christi,3,2,0,3,0,1,0.18604000000000001,0.43018000000000001,0.74529999999999996,0.13228000000000001,7846,1986
31800,College Station,1,1,0,1,1,1,0.2802,0.37737999999999999,0.77922000000000002,0.12998999999999999,2383,1986
31900,Pearland,3,1,0,3,0,1,0.23005,0.43412000000000001,0.70823000000000003,0.18304999999999999,4677,1986
32000,Houston,17,7,3,10,1,1,0.22922999999999999,0.40154000000000001,0.73134999999999994,0.17313999999999999,61663,1986
32100,Beaumont,4,1,0,4,0,1,0.29859000000000002,0.38818000000000003,0.71757000000000004,0.12322,6925,1986
32201,Huntsville,2,1,0,2,0,1,0.27925,0.39017000000000002,0.81881999999999999,0.063219999999999998,2257,1986
32202,Nacogdoches,1,1,0,1,0,1,0.27944000000000002,0.41143999999999997,0.87173999999999996,0.072340000000000002,1314,1986
32301,San Angelo,1,1,0,1,0,1,0.27222000000000002,0.40432000000000001,0.77451000000000003,0.12737000000000001,1714,1986
32302,Brady,0,0,0,0,0,0,0.40743000000000001,0.40817999999999999,1.0167299999999999,0.03789,337,1986
